Restaurante;Barrio;Tipo;Precio;Rating;Reseña
Orgánico Express;Recoleta;Vegano;$$$;4;Ingredientes de primera calidad
Fresh Market;Almagro;Café saludable;$;3;Rico pero caro
Semilla Urbana;Almagro;Sin TACC;$$;1;Las porciones son pequeñas
Semilla Urbana;Recoleta;Natural;$$$;2;No vale el precio
Vida Vegana;Palermo;Orgánico;$$$;5;Excelente calidad y muy fresco
Vida Vegana;Belgrano;Natural;$$;5;Ingredientes de primera calidad
EcoBite;Almagro;Vegano;$;1;No vale el precio
Fresh Market;Recoleta;Natural;$;5;Ingredientes de primera calidad
Orgánico Express;Palermo;Natural;$$$;2;Buena comida pero mala atención
EcoBite;Almagro;Sin TACC;$$;4;Comida deliciosa y saludable
Vida Vegana;Almagro;Café saludable;$$;2;No vale el precio
Raíces Urbanas;Recoleta;Café saludable;$$$;5;Excelente calidad y muy fresco
Raíces Urbanas;Belgrano;Natural;$;1;Demasiada espera para los platos
Verde Raíz;Almagro;Sin TACC;$$;2;Buena comida pero mala atención
Vida Vegana;Belgrano;Vegano;$$;2;Muy caro para lo que ofrecen
Vida Vegana;Belgrano;Sin TACC;$;1;Muy caro para lo que ofrecen
Sabor Natural;Belgrano;Sin TACC;$;4;Excelente calidad y muy fresco
Raíces Urbanas;Palermo;Sin TACC;$;1;No vale el precio
Raíces Urbanas;Belgrano;Natural;$$$;1;No vale el precio
Raíces Urbanas;Caballito;Café saludable;$;2;No vale el precio
Semilla Urbana;Recoleta;Orgánico;$;2;Demasiada espera para los platos
Fresh Market;Caballito;Café saludable;$$;5;Me encantó la experiencia, volvería
Vida Vegana;Belgrano;Natural;$;1;Las porciones son pequeñas
La Huerta BA;Almagro;Café saludable;$$$;5;Comida deliciosa y saludable
EcoBite;Palermo;Orgánico;$$$;4;Me encantó la experiencia, volvería
EcoBite;Palermo;Vegano;$$;5;Comida deliciosa y saludable
Orgánico Express;Almagro;Sin TACC;$;4;Excelente calidad aunque los precios son altos
Green Spot;Almagro;Café saludable;$$;4;Comida deliciosa y saludable
Orgánico Express;Caballito;Orgánico;$;4;Comida deliciosa y saludable
La Huerta BA;Palermo;Sin TACC;$;1;Demasiada espera para los platos
La Huerta BA;Caballito;Orgánico;$$;1;Las porciones son pequeñas
Semilla Urbana;Palermo;Orgánico;$$$;4;Me encantó la experiencia, volvería
Green Spot;Recoleta;Vegano;$;5;Ingredientes de primera calidad
Green Spot;Palermo;Natural;$;3;Ambiente lindo pero servicio lento
EcoBite;Belgrano;Café saludable;$;4;Ambiente lindo pero servicio lento
Verde Raíz;Caballito;Orgánico;$$;5;Muy buena atención y ambiente agradable
Raíces Urbanas;Belgrano;Orgánico;$$$;2;Buena comida pero mala atención
Green Spot;Caballito;Vegano;$$;1;No vale el precio
Raíces Urbanas;Almagro;Vegano;$;4;Ambiente lindo pero servicio lento
Green Spot;Almagro;Café saludable;$$$;4;Ambiente lindo pero servicio lento
Verde Raíz;Palermo;Orgánico;$$$;2;Rico pero caro
Orgánico Express;Recoleta;Sin TACC;$$;2;Demasiada espera para los platos
Orgánico Express;Palermo;Sin TACC;$$;2;No vale el precio
Semilla Urbana;Palermo;Vegano;$;4;Excelente calidad y muy fresco
Vida Vegana;Palermo;Sin TACC;$$;2;La atención fue lenta
Vida Vegana;Belgrano;Orgánico;$$$;4;Ambiente lindo pero servicio lento
Vida Vegana;Caballito;Café saludable;$$;4;Rico pero caro
Verde Raíz;Caballito;Vegano;$;4;Excelente calidad aunque los precios son altos
Sabor Natural;Recoleta;Café saludable;$;3;Rico pero caro
Sabor Natural;Recoleta;Sin TACC;$;2;Ambiente lindo pero servicio lento
Sabor Natural;Recoleta;Café saludable;$$$;3;Ambiente lindo pero servicio lento
Verde Raíz;Recoleta;Orgánico;$;3;Buena comida pero mala atención
Raíces Urbanas;Almagro;Sin TACC;$;2;Demasiada espera para los platos
Sabor Natural;Almagro;Natural;$;4;Ambiente lindo pero servicio lento
Semilla Urbana;Recoleta;Sin TACC;$$$;4;Muy buena atención y ambiente agradable
Fresh Market;Caballito;Natural;$;3;Buena comida pero mala atención
Orgánico Express;Almagro;Orgánico;$$;3;Ambiente lindo pero servicio lento
Green Spot;Almagro;Sin TACC;$$$;5;Ingredientes de primera calidad
Orgánico Express;Belgrano;Natural;$$$;2;Excelente calidad aunque los precios son altos
Semilla Urbana;Caballito;Vegano;$$;3;Excelente calidad aunque los precios son altos
Raíces Urbanas;Recoleta;Sin TACC;$$;3;Rico pero caro
La Huerta BA;Recoleta;Sin TACC;$$$;5;Comida deliciosa y saludable
Vida Vegana;Almagro;Orgánico;$$;2;Rico pero caro
EcoBite;Almagro;Natural;$;1;Las porciones son pequeñas
Raíces Urbanas;Almagro;Café saludable;$;1;Demasiada espera para los platos
Raíces Urbanas;Recoleta;Natural;$$;4;Comida deliciosa y saludable
Vida Vegana;Palermo;Orgánico;$$;2;Muy caro para lo que ofrecen
Sabor Natural;Palermo;Natural;$;2;La atención fue lenta
Sabor Natural;Belgrano;Sin TACC;$$$;3;Buena comida pero mala atención
Raíces Urbanas;Caballito;Sin TACC;$;2;Las porciones son pequeñas
Fresh Market;Belgrano;Vegano;$;2;Rico pero caro
Sabor Natural;Caballito;Vegano;$$$;5;Ingredientes de primera calidad
Verde Raíz;Caballito;Orgánico;$$;1;La atención fue lenta
Green Spot;Almagro;Orgánico;$$$;2;Demasiada espera para los platos
Fresh Market;Caballito;Natural;$;3;Ambiente lindo pero servicio lento
Sabor Natural;Palermo;Vegano;$$$;1;Las porciones son pequeñas
Semilla Urbana;Belgrano;Sin TACC;$$$;2;No vale el precio
Green Spot;Almagro;Vegano;$$;3;Rico pero caro
Vida Vegana;Caballito;Natural;$$$;3;Ambiente lindo pero servicio lento
Semilla Urbana;Palermo;Café saludable;$$;4;Ingredientes de primera calidad
Orgánico Express;Belgrano;Sin TACC;$;1;La atención fue lenta
EcoBite;Caballito;Café saludable;$$;2;Las porciones son pequeñas
